user,item,rating,names
1,1,5.0,Pesto Pasta
1,3,5.0,Hamburger
1,5,5.0,Steak
1,6,5.0,Chicken Burger
1,7,5.0,Fish Filet
1,10,5.0,Tuna Sandwich 
1,11,5.0,Ravioli
1,12,5.0,Quesadillas
1,15,5.0,Lasagna
1,16,1.0,Biryani
1,17,5.0,Croissants
1,18,5.0,Mozzarella Sticks
1,20,5.0,Ramen Noodles
1,21,5.0,Sushi
1,24,5.0,Pepperoni Pizza
1,26,5.0,Falafel
1,27,1.0,Paella
1,28,5.0,Risotto
1,29,5.0,Ceasar Salad
1,30,5.0,Pasta Salad
1,31,5.0,Chicken Strips
1,32,5.0,French Fries
1,35,5.0,Doughnut
1,36,5.0,Pain Perdu
1,39,5.0,Apple Pie
1,40,5.0,Macarons
1,41,5.0,Molten Chocolate Cake
1,42,5.0,Crêpes
1,43,5.0,Pancakes
1,44,5.0,Shawarma
1,45,5.0,Tiramisù
1,46,5.0,Shish Tawook
1,48,5.0,Spring Rolls
1,50,5.0,Lentil Soup
1,52,5.0,Loubye
1,53,5.0,Omelette
1,54,5.0,Avocado Toast
1,55,3.0,Salmon Tartare
1,56,5.0,Guacamole
1,57,5.0,Garlic Bread
1,59,5.0,Roasted Cauliflower
1,61,5.0,Custard
1,62,5.0,Banana Bread
2,2,5.0,Pasta with Tomato Sauce
2,3,5.0,Hamburger
2,4,5.0,Pizza Margherita
2,6,2.0,Chicken Burger
2,7,2.0,Fish Filet
2,8,5.0,Grilled Chicken with Vegetables 
2,9,3.0,Escalope
2,11,5.0,Ravioli
2,17,5.0,Croissants
2,20,5.0,Ramen Noodles
2,23,4.0,Brownies
2,24,5.0,Pepperoni Pizza
2,26,1.0,Falafel
2,27,3.0,Paella
2,30,1.0,Pasta Salad
2,31,4.0,Chicken Strips
2,32,4.0,French Fries
2,33,5.0,Mashed Potatoes
2,35,5.0,Doughnut
2,36,5.0,Pain Perdu
2,42,5.0,Crêpes
2,43,5.0,Pancakes
2,44,4.0,Shawarma
2,46,3.0,Shish Tawook
2,50,3.0,Lentil Soup
2,53,5.0,Omelette
2,60,5.0,Muffins
2,63,5.0,Scrambled Eggs
3,1,5.0,Pesto Pasta
3,2,4.0,Pasta with Tomato Sauce
